method, 2:1.25, 2:1.50, 2:1.75, 2:2.0, 3:1.25, 3:1.50, 3:1.75, 3:2.0, 4:1.25, 4:1.50, 4:1.75, 4:2.0
edr_psdtw,0.74 0.96 0.98 0.98,0.62 0.94 0.98 1.00,0.62 0.86 0.94 0.96,0.52 0.88 0.94 1.00,0.68 0.90 0.94 0.96,0.58 0.86 0.98 1.00,0.58 0.80 0.90 0.96,0.60 0.92 0.98 1.00,0.68 0.88 0.96 0.98,0.46 0.82 0.96 0.98,0.46 0.84 0.90 0.94,0.48 0.72 0.84 0.92
lcss_psdtw,0.38 0.74 0.88 0.94,0.38 0.78 0.92 0.94,0.26 0.64 0.82 0.92,0.28 0.68 0.80 0.92,0.44 0.76 0.92 0.96,0.34 0.72 0.90 0.96,0.36 0.68 0.78 0.84,0.34 0.66 0.90 0.94,0.58 0.86 0.94 0.98,0.36 0.72 0.88 0.98,0.36 0.62 0.84 0.90,0.36 0.60 0.80 0.86
manhattan_psdtw,0.82 0.94 0.94 0.98,0.72 0.94 0.96 1.00,0.70 0.86 0.94 0.94,0.70 0.92 0.96 0.98,0.80 0.94 0.96 0.98,0.68 0.92 0.96 0.98,0.68 0.86 0.92 0.96,0.66 0.90 0.98 0.98,0.80 0.98 1.00 1.00,0.80 0.90 0.98 1.00,0.60 0.86 0.94 0.98,0.60 0.80 0.88 0.96
minkowski_psdtw,0.70 0.92 0.92 0.96,0.56 0.88 0.90 0.96,0.52 0.78 0.90 0.90,0.50 0.78 0.86 0.90,0.72 0.90 0.94 0.96,0.54 0.86 0.92 0.96,0.56 0.76 0.88 0.92,0.58 0.88 0.96 0.96,0.68 0.94 0.98 1.00,0.60 0.78 0.88 0.98,0.44 0.72 0.88 0.94,0.40 0.66 0.80 0.92
msm_psdtw,0.96 0.98 0.98 1.00,0.86 1.00 1.00 1.00,0.82 0.94 0.96 1.00,0.84 0.96 0.96 1.00,0.84 0.96 0.98 1.00,0.78 0.98 1.00 1.00,0.80 0.96 0.96 1.00,0.88 1.00 1.00 1.00,0.84 1.00 1.00 1.00,0.84 1.00 1.00 1.00,0.80 0.98 0.98 1.00,0.76 0.86 0.96 1.00
sbd_psdtw,0.74 0.98 0.98 1.00,0.58 0.90 0.94 0.98,0.58 0.84 0.94 0.96,0.58 0.90 0.94 0.96,0.74 0.92 0.96 0.98,0.56 0.88 0.94 0.98,0.68 0.82 0.92 0.96,0.66 0.86 0.96 0.98,0.74 0.98 0.98 1.00,0.72 0.82 0.94 0.96,0.52 0.82 0.94 0.96,0.46 0.68 0.76 0.90
shape_dtw_psdtw,0.90 1.00 1.00 1.00,0.92 0.96 0.98 0.98,0.94 1.00 1.00 1.00,0.94 0.98 1.00 1.00,0.86 0.96 0.98 1.00,0.74 0.90 0.96 0.98,0.88 0.94 1.00 1.00,0.88 0.92 1.00 1.00,0.74 0.86 0.98 1.00,0.70 0.92 0.98 0.98,0.64 0.96 0.98 0.98,0.60 0.86 0.90 0.98
twe_psdtw,0.98 0.98 1.00 1.00,1.00 1.00 1.00 1.00,0.92 0.98 1.00 1.00,0.94 1.00 1.00 1.00,0.92 1.00 1.00 1.00,0.92 1.00 1.00 1.00,0.90 0.98 1.00 1.00,0.98 1.00 1.00 1.00,0.90 1.00 1.00 1.00,0.90 1.00 1.00 1.00,0.96 0.98 1.00 1.00,0.84 0.96 1.00 1.00
wddtw_psdtw,0.58 0.80 0.90 0.96,0.54 0.90 0.96 0.98,0.60 0.86 0.92 0.98,0.44 0.82 0.94 0.96,0.70 0.96 1.00 1.00,0.52 0.82 0.94 1.00,0.62 0.86 0.96 0.96,0.58 0.86 0.96 0.98,0.74 0.88 0.98 1.00,0.60 0.84 0.92 0.94,0.58 0.82 0.88 0.94,0.54 0.74 0.90 0.96
wdtw_psdtw,0.88 1.00 1.00 1.00,0.96 1.00 1.00 1.00,0.94 1.00 1.00 1.00,0.96 1.00 1.00 1.00,0.86 0.94 1.00 1.00,0.86 0.98 1.00 1.00,0.88 0.98 1.00 1.00,0.86 1.00 1.00 1.00,0.74 0.88 0.94 0.96,0.72 0.82 0.98 0.98,0.76 0.94 1.00 1.00,0.66 0.88 0.94 0.96
